,judul,konten,kategori
0, Air Terjun 7 Bidadari yang Tersembunyi di Lahat,,travel
1, Bima dan Pantai Kolo,,travel
2," Cha-Am, Tempat Anti Mainstream di Thailand",,travel
3, Obat Rindu ke Museum Maritim,"Pada masa lalu, bangsa Indonesia terkenal akan kejayaan maritimnya, terlebih pada saat masa penjajahan Belanda, sejumlah infrastruktur pelabuhan dibangun di beberapa kota besar sebagai akses utama masuknya kapal yang mengangkut berbagai komoditi perkebunan.Berbagai kisah sejarah kejayaan maritim Indonesia bisa kita temukan di Museum Maritim Indonesia, yang menyajikan berbagai kisah pelabuhan yang ada di Indonesia sejak masa penjajahan sampai era modern saat ini.Bangunan yang saat ini dipergunakan untuk Museum Maritim merupakan bekas kantor pengelola pelabuhan yang dibangun pada awal abad ke 20, dan konon merupakan bangunan tertua yang masih berdiri di pelabuhan Tanjung Priok hingga saat ini.Selain berbagai koleksinya yang sangat informatif, menarik dan bernilai historis terdapat pengalaman menarik yang saya peroleh saat mengunjungi museum ini beberapa saat yang lalu, sebab saya diizinkan untuk memasuki bagian bangunan yang tidak terbuka untuk umum, yaitu menara.Tentu saat memasuki area menara saya tidak sendirian, karena selalu didampingi oleh pihak pengelola, yang tak hentinya memberi berbagai informasi sejarah dari tiap bagian menara dan setiap sudut museum yang saya datangi.Menara bisa diakses dari lantai dua museum, atau bersebelahan dengan arena perpustakaan dan ruang konferensi yang juga disewakan untuk umum. Tinggi menara di museum ini setara dengan gedung 5 lantai, yang saya yakini pada jamannya sudah merupakan bangunan yang cukup tinggi di kawasan pelabuhan.Walaupun gedung museum sudah sempat mengalami renovasi, namun khusus pada bagian menara, tidak ada perubahan, kecuali penambahan kaca penutup pada jendela. Bentuk kusen jendelanya sekilas mengingatkan saya pada kusen yang sama dengan lawang sewu di Semarang, tapi dalam versi yang lebih kecil.Tangga yang kami pergunakan untuk menuju ke atas pun cukup curam, sehingga harus berhati-hati ya traveler. Tepat di lantai tiga terdapat semacam balkon yang mengarah ke gedung Indonesia Port Corporation (IPC) yang cukup megah.Pada ruangan yang tak terlalu luas di lantai 3, terdapat tangga yang besi yang akan menghubungkan Anda ke lantai empat bangunan. Lantai empat ini ukurannya lebih sempit dibanding lantai lainnya. Namun yang menarik, tepat di tengah ruangan, terdapat tangga besi melingkar ke lantai paling atas.Di lantai 5, traveler bisa menikmati pemandangan pelabuhan dengan segala aktivitasnya melalui sejumlah celah yang terdapat di sekeliling bangunan. Mulai dari tug boat yang memandu kapal besar untuk bersandar, sampai truk pengangkut logistik yang memasuki lambung kapal.ÃÂ Meski menarik untuk dijadikan spot berfoto, sayangnya sejauh ini karena alasan keamanan, akses menuju menara masih dibatasi danÃÂ  belum terbuka untuk umum.ÃÂ                         ",travel
4, Rasanya Kangen Touring Naik Motor ke Gunung Mas via Puncak,,travel
5," Usai Corona, Nanti Kita Agrowisata ke Kota Batu",,travel
6,"#HariBumi Gaduh di Twitter, Google Tandai dengan Google Doodle","Hari ini, 22 April, diperingati sebagai Hari Bumi. Tagar #HariBumi menjadi trending topic di Twitter, Google menandainya lewat Google Doodle.Hari Bumi memasuki edisi spesial tahun ini dengan peringatan ke-50. Ya, Hari Bumi diperingati pertama kali pada 1970 setelah muncul kesadaran efek pencemaran lingkungan di tahun-tahun sebelumnya. Di antaranya, polusi udara dan pembuangan limbah dari pabrik.Senator Gaylord Nelson, seorang senator junior dari Winsconsin, yang terpilih di Senat Amerika Serikat (AS) tahun 1962, mendobrak kenyamanan pemerintah dengan menggaungkan bumi sedang tak baik-baik saja. Nelson menyampaikan gagasan Hari Bumi dalam sebuah konferensi pers di Seattle pada musim gugur 1969.Pidatonya menjadi embrio bahan kuliah di kampus-kampus dan memancing mahasiswa turun ke jalan, berdemonstrasi dan memadati Fifth Avenue di New York. Tidak kurang dari 1.500 perguruan tinggi dan 10.000 sekolah berpartisipasi dalam unjuk rasa di New York, Washington, dan San Francisco. Majalah TIME memperkirakan bahwa sekitar 20 juta orang turun ke jalan pada 22 April 1970.Nelson menyebut fenomena ini sebagai ledakan akar rumput yang sangat mencengangkan dengan masyarakat umum sungguh peduli. Hari Bumi pun menjadi kesempatan pertama sehingga mereka benar-benar dapat berpartisipasi dalam suatu demonstrasi yang meluas secara nasional.Pemerintah merespons positif kampanye itu. Mulailah diatur undang-undang lingkungan, di antaranya UU Udara Bersih, UU Peningkatan Kualitas Air, UU Spesies Terancam Punah, UU Pengawasan Zat Beracun dan Pertambangan, serta UU Reklamasi.Selain itu, pada Desember 1970 dibentuk Badan Perlindungan Lingkungan, yang bertugas melindungi kesehatan manusia dan menjaga lingkungan alam, termasuk udara, air dan tanah.Hari ini #HariBumi menjadi salah satu topik yang paling diperbincangkan di Indonesia. Muncul juga tagar #EarthDay.Sementara itu, Google membuat Google Doodle dengan tema Hari Bumi. Google berkolaborasi dengan The Honeybee Conservancy dalam menyajikan Google Doodle di Hari Bumi itu.Pengguna internet dapat memandu lebah Google Doodle untuk menyerbuki bunga sambil mempelajari kekayaan hayati bumi dan peran lebah untuk memeliharanya.",travel
7,'Banjir' Bantuan ke Abang Ojol Bikin Iri,"Virus Corona (COVID-19) telah memberikan dampak buruk ke berbagai sektor usaha, tak terkecuali pada sektor transportasi. Banyak pengemudi angkutan umum yang mengalami penurunan pendapatan seperti tukang bajaj, sopir becak, sopir bus, sopir angkot, hingga driver ojek online (ojol).Namun, Pengamat Transportasi Univesitas Katolik Soegijapranata (Unika), Djoko Setijowarno menilai perhatian pemerintah cukup berlebihan kepada driver ojol. Seharusnya, pemerintah bisa adil kepada seluruh profesi pengemudi angkutan umum.""Perhatian pemerintah cukup berlebihan terhadap pengemudi ojek daring. Walaupun dalam UU No. 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan, ojek bukan termasuk angkutan umum,"" kata Djoko dalam keterangan tertulis yang diterima detikcom, Rabu (15/4/2020).Seperti diketahui, pemerintah lewat Badan Usaha Milik Negara (BUMN) baru saja mengeluarkan kebijakan bahwa ojol satu-satunya transportasi yang mendapatkan promo cashback sebesar 50% untuk pembelian BBM non-subsidi di SPBU Pertamina dengan menggunakan aplikasi MyPertamina.""Jika pemerintah dan BUMN mau adil, tidak hanya pengemudi ojek daring yang mendapatkan cash back untuk pembelian BBM atau bentuk bantuan lainnya, akan tetapi diberikan pula bantuan pada seluruh pengemudi transportasi umum yang lainnya,"" harapnya.Padahal di balik operasional ojol ada sebuah perusahaan aplikasi yang sudah menyandang status sebagai perusahaan startup unicorn dengan value triliunan rupiah. Sehingga, Djoko mempertanyakan mengapa pemerintah masih harus memberikan sesuatu yang istimewa kepadanya.Meski pendapatan berkurang, Djoko bilang, driver ojol masih punya peluang mendapat penghasilan dari mengantar barang. Ditambah Kementerian Pertanian yang telah menggandeng aplikator untuk driver ojol mengantar pembelian sembako. Lain halnya dengan angkutan umum lain, sebut saja sopir bajaj.""Angkutan roda tiga seperti bajaj sebagai salah satu moda angkutan umum beroperasi di Jakarta sudah tidak diperhatikan keberadaannya. Sudah wilayah operasinya dibatasi, tambah semakin terpuruk di saat ojek daring muncul dengan wilayah operasi tanpa batas. Angkutan bajaj dibiarkan beroperasi tapa perlindungan, meski sebagai angkutan umum yang legal,"" urainya.Djoko berharap, pemerintah bisa lebih adil memberi bantuan untuk seluruh angkutan umum.""Negara ini sedang dirundung duka janganlah lagi ditambah masalah akibat ketidakadilan itu,"" ucapnya.Lalu, apa yang perlu dilakukan pemerintah?",finance
8,'Libur' Bayar Cukai 3 Bulan Berlaku untuk Pengusaha,"DIrektorat Jenderal Bea dan Cukai (DJBC) Kementerian Keuangan menjelaskan libur tarik cukai selama 3 bulan atau 90 hari ini bukan berarti tidak membayar sama sekali.Libur di sini maksudnya para pengusaha pabrik atau importir mendapat penangguhan pembayaran selama waktu yang ditetapkan. Jika sudah melewati batas itu, maka pihak pemohon kembali membayarkan kewajibannya.""Konsepnya bahwa pabrikan itu hanya tax person dan masyarakat atau konsumen rokok adalah taxpayer,"" kata Direktur Teknis dan Fasilitas Cukai DJBC, Nirwala Dwi Heryanto kepada detikcom, Jakarta, Kamis (16/4/2020).Nirwala menjelaskan pemberian penundaan pembayaran cukai ini sebagai bentuk kemudahan administrasi kepada pengusaha pabrik dalam memenuhi kewajibannya.""Tujuan easy of administration penarikan atau tagihan cukai lewat pabrikan, oleh sebab itu pabrikan diberi kredit berupa penundaan pembayaran cukai selama ini 2 bulan agar tidak membebani pabrikan, PMK 30/2020 itu merelaksasi kreditnya dari 2 bulan menjadi 3 bulan,"" ungkap dia.Sebelumnya, Direktorat Jenderal Bea dan Cukai (DJBC) Kementerian Keuangan merelaksasi penundaan pembayaran cukai dalam rangka menjaga keberlangsungan industri di tengah pandemi virus Corona (COVID-19). Artinya, pemerintah tak akan menarik cukai dalam jangka waktu tertentu sebagai relaksasi bagi para pelaku usaha akibat tersendatnya logistik barang kena cukai (BKC) di pasar.Berdasarkan keterangan resmi DJBC yang dikutip, Jakarta, Kamis (16/4/2020), Keputusan itu tertuang dalam Peraturan Menteri Keuangan (PMK) Nomor 30/PMK.04/2020 tentang perubahan atas PMK Nomor 57/PMK.04/2017 tentang penundaan pembayaran cukai untuk pengusaha pabrik atau importir barang kena cukai yang melaksanakan pelunasan dengan cara pelekatan pita cukai.Relaksasi ini berlaku pada pemesanan pita cukai yang diajukan oleh pengusaha pabrik pada tanggal 9 April-9 Juli 2020, diberikan penundaan selama 90 hari atau kurang lebih 3 bulan.""Dengan adanya relaksasi ini dapat membantu cash flow perusahaan, sehingga perusahaan tetap menjalankan usahanya,"" kata Direktur Kepabeanan Internasional dan Antar Lembaga DJBC, Syarif Hidayat.",finance
9,'Obat' Antimiskin Perlu Ditambah demi Tahan Imbas Corona,"Pemerintah harus melakukan beberapa langkah demi menekan lonjakan angka kemiskinan di tengah pandemi virus Corona (COVID-19). Menurut prediksi lembaga riset nirlaba asal Inggris, Oxfam, diprediksi ada setengah miliar penduduk dunia jatuh ke jurang kemiskinan.Merespons hal itu, Direktur Eksekutif INDEF, Tauhid Ahmad mengatakan upaya yang harus dilakukan pemerintah adalah meningkatkan porsi anggaran bantuan sosial (bansos) khususnya bagi kelompok miskin dan masyarakat yang ekonominya terdampak.""Saya kira meningkatkan porsi bantuan sosial yang sekarang hanya sebesar 27,1%, setidaknya di atas 40%,"" kata Tauhid kepada detikcom, Jakarta, Sabtu (18/4/2020).Peningkatan anggaran bansos, dikatakan Tauhid karena masih banyak alokasi insentif perekonomian yang belum jelas peruntukannya. Upaya selanjutnya yang bisa dilakukan adalah mengintegrasikan seluruh program bansos yang diberikan pemerintah.""Ini bisa dilakukan dalam penyatuan basis data kemiskinan, UMKM, korban PHK, dan sebagainya,"" ujarnya.Kemudian, kata Tauhid, pemerintah juga bisa merubah sistem penyaluran bansos menjadi satu saluran dari yang saat ini masih di masing-masing kementerian/lembaga (K/L).Upaya selanjutnya yang dilakukan oleh para dunia usaha, yaitu mencegah sedini mungkin pemutusan hubungan kerja (PHK).""Mencegah sedini mungkin gelombang PHK besar-besaran. Ini harus dilakukan oleh dunia usaha,"" ungkapnya.",finance
